Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min
1145,69,1,0,0,0,0,0,6,6,6,0,86956.52174,28985.50725,69,0,69,69,0,0,0,0,0,0,0,0,0,0,40,20,14492.75362,14492.75362,0,6,2,3.464101615,12,0,1,0,3,0,29200,0,0,40,0,0,0,0,0,0
52321,37,1,6,6,6,6,0,6,6,6,0,324324.3243,54054.05405,37,0,37,37,0,0,0,0,0,0,0,0,0,0,20,20,27027.02703,27027.02703,6,6,6,0,0,0,0,1,9,6,237,256,0,20,0,0,0,0,0,0
21,252,2,14,14,0,7,9.899494937,0,0,0,0,55555.55556,11904.7619,126,2.828427125,128,124,252,252,0,252,252,0,0,0,0,0,64,20,7936.507937,3968.253968,0,14,7,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0,0,0,0,0,0
21,39461,2,0,0,0,0,0,0,0,0,0,0,50.68295279,39461,0,39461,39461,39461,39461,0,39461,39461,0,0,0,0,0,64,0,50.68295279,0,0,0,0,0,0,0,0,1,0,0,229,-1,0,32,0,0,0,0,0,0
80,5375847,3,0,0,0,0,0,0,0,0,0,0,0.744068795,1791949,3103042.647,5375034,127,5375847,2687923.5,3800148.113,5375034,813,0,0,0,0,0,104,40,0.558051596,0.186017199,0,0,0,0,0,0,1,0,0,0,29200,28960,0,32,0,0,0,0,0,0
80,5111878,5,30,6,6,6,0,0,0,0,0,5.86868466,0.97811411,1277969.5,2553265.975,5107868,1,5111878,1277969.5,2553265.975,5107868,1,0,0,0,0,0,100,0,0.97811411,0,6,6,6,0,0,0,0,1,7.2,30,256,-1,4,20,4010,4010,4010,5107868,5107868,5107868
80,100552644,7,354,348,0,50.57142857,131.1727324,10147,0,2898.75,4880.140256,118.833275,0.109395433,10100000,31800000,100000000,1,100000000,16700000,41000000,100000000,1,75390,25130,39016.68006,70091,163,220,136,0.069615275,0.039780157,0,10147,995.75,2912.063252,8480112.386,0,0,1,1086.272727,354,251,235,2,20,1983,1983,1983,100000000,100000000,100000000
80,99918705,9,350,344,0,38.88888889,114.4338722,5792,0,1932.5,2179.547086,119.5471859,0.150122042,7137050.357,26700000,99800000,1,99800000,12500000,35300000,99800000,1,147458,29491.6,59279.91075,135135,72,284,200,0.090073225,0.060048817,0,5792,746.5625,1578.187736,2490676.529,0,0,1,796.3333333,350,251,235,2,20,4039,4039,4039,99800000,99800000,99800000
80,1124095,2,20,20,0,10,14.14213562,4380,0,2320.2,2207.341206,10338.0942,6.227231684,187349.1667,455535.3924,1117194,143,6332,6332,0,6332,6332,1123940,280985,557480.1019,1117194,158,52,112,1.779209053,4.448022632,0,4380,1452.625,2053.759823,4217929.411,0,1,0,1660.142857,20,8192,229,1,20,0,0,0,0,0,0
443,632673,9,529,194,0,58.77777778,79.92461726,1448,0,813.6,751.2102236,7265.99681,22.12833486,48667.15385,117225.9131,315616,2,632673,79084.125,144919.6667,317714,56,318365,79591.25,157523.6482,315873,191,296,164,14.22535812,7.902976735,0,1448,306.4666667,550.3480544,302882.981,0,1,0,328.3571429,529,29200,30016,4,32,0,0,0,0,0,0
53,252,2,86,43,43,43,0,204,204,204,0,1960317.46,15873.01587,84,142.0316866,248,1,3,3,0,3,3,1,1,0,1,1,64,64,7936.507937,7936.507937,43,204,107.4,88.18333176,7776.3,0,0,0,134.25,86,-1,-1,1,32,0,0,0,0,0,0
49999,53,1,0,0,0,0,0,6,6,6,0,113207.5472,37735.84906,53,0,53,53,0,0,0,0,0,0,0,0,0,0,40,20,18867.92453,18867.92453,0,6,2,3.464101615,12,0,1,0,3,0,29200,0,0,40,0,0,0,0,0,0
8080,137424,4,206,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,2474.094772,50.93724531,22904,54976.19896,135121,42,137424,45808,78674.50908,136653,125,135714,67857,95125.66106,135121,593,92,72,29.10699732,21.83024799,0,194,42.5,75.2880184,5668.285714,0,1,0,48.57142857,206,8192,237,3,20,0,0,0,0,0,0
80,5395735,3,0,0,0,0,0,0,0,0,0,0,0.741326251,1798578.333,3114498.143,5394891,126,5395735,2697867.5,3814167.212,5394891,844,0,0,0,0,0,104,40,0.555994688,0.185331563,0,0,0,0,0,0,1,0,0,0,29200,28960,0,32,0,0,0,0,0,0
